param_class,slope_per_day,intercept_log,mean_fitted_price,halving_months,annual_change_pct
<10B,0.000668508624496305,-2.5241843888338433,0.1040592669515815,,27.635153922747936
10-100B,0.0006277862881200993,-1.0683461813543997,0.41376800898653276,,25.75205881749254
100B+,-0.0010589043834596092,0.3744150404236037,1.1249557212831152,21.504238437360865,-32.056934254312885
