Benchmark,N,Time Coef (no price),p-value,R² (no price),Time Coef (w/ price),p-value.1,Price Coef,Price p-value,R² (w/ price),Coef Δ,Coef Δ (%)
GPQA-D,53,1.2954785038858996,2.0829826197221735e-07,0.4134473561463521,0.6783255367815294,2.220446049250313e-16,0.5710224305096533,0.0,0.8805689055363212,-0.6171529671043702,-47.63899711598198
SWE-Bench,13,1.0803966535298681,0.08620772746631555,0.24401794291232992,0.8941081136307629,0.021886800340290335,0.7251938124335193,5.9716955653543735e-05,0.7144909681203236,-0.1862885398991052,-17.24260615677251
AIME,42,2.5862526763125726,0.00021320845973127334,0.2931649566774077,2.20098317702835,7.66053886991358e-13,1.533731748173373,0.0,0.8459588044066308,-0.3852694992842225,-14.896823609421336
