Benchmark,Price Tier,N,Price Min,Price Max,Score Min,Score Max,Time Coef,Time SE,Time p-value,Annual Δ (% pts),R²,Adj R²
GPQA-D,<$1,81,0.00447823875,0.9660714375,13.2,70.7,0.5387882306472093,0.15090994842004296,0.0006105427124591944,13.387262161668971,0.13893434974175023,0.12803478454860795
GPQA-D,<$10,120,0.00447823875,9.116125,13.2,85.4,0.7587787478943834,0.1271026507882577,2.5622279409276416e-08,18.297907427380963,0.23196403346874905,0.22545525409136558
GPQA-D,<$100,138,0.00447823875,76.30227000000001,13.2,86.2,0.9640259385771186,0.12937410386999212,9.666489830806313e-12,21.944160301866255,0.2899071663237517,0.2846858954878969
GPQA-D,All,138,0.00447823875,76.30227000000001,13.2,86.2,0.9640259385771186,0.12937410386999212,9.666489830806313e-12,21.944160301866255,0.2899071663237517,0.2846858954878969
SWE-Bench,<$100,9,24.0622741,93.632165,22.0,59.2,0.8062710069728847,0.5099381184805304,0.15786464324814498,19.887465113770418,0.26315214545026966,0.15788816622887958
SWE-Bench,<$1000,19,24.0622741,383.85,16.4,64.8,0.7639063157281756,0.4965401960075532,0.1423415155663501,18.85392393618818,0.12221156656363474,0.07057695283208387
SWE-Bench,All,21,24.0622741,1416.495,16.4,64.8,0.8298970011272079,0.4968252454303588,0.11123186474906244,20.31233440290081,0.12804986560370424,0.08215775326705721
AIME,<$1,85,0.0014416825,0.911413625,0.6,81.1,2.3871686481388528,0.33617661827551615,3.88127308070807e-10,52.883138005278504,0.37791971112723344,0.37042476788780254
AIME,<$10,106,0.0014416825,9.598029,0.6,91.4,2.494346904405557,0.34500828483136736,8.443978849470568e-11,54.87311602632972,0.33448629226516047,0.32808712199847934
AIME,<$100,109,0.0014416825,22.901634,0.6,91.4,2.5526398974538607,0.3441777564605882,2.988209679699594e-11,55.45795603111729,0.33953241236155285,0.33335981808455795
AIME,All,109,0.0014416825,22.901634,0.6,91.4,2.5526398974538607,0.3441777564605882,2.988209679699594e-11,55.45795603111729,0.33953241236155285,0.33335981808455795
