Benchmark,Price Tier,N,Price Min,Price Max,Score Min,Score Max,Time Coef,Time SE,Time p-value,Price Coef,Price SE,Price p-value,Annual Δ (% pts),R²,Adj R²
GPQA-D,<$1,81,0.00447823875,0.9660714375,13.2,70.7,0.3833272541106859,0.0813812352370486,1.0582672073544686e-05,0.6296479206184947,0.049069383555828926,0.0,9.53052305940433,0.5503327335322634,0.5388028036228343
GPQA-D,<$10,120,0.00447823875,9.116125,13.2,85.4,0.5652625776279089,0.05003497715618512,0.0,0.5031830491540621,0.037827217097728835,0.0,13.87266057045558,0.6421354808640011,0.6360181386565481
GPQA-D,<$100,138,0.00447823875,76.30227000000001,13.2,86.2,0.5933264525135035,0.039331779885818846,0.0,0.49983565300848315,0.02995634378103403,0.0,14.216940710728942,0.7365500676906946,0.7326471057305568
GPQA-D,All,138,0.00447823875,76.30227000000001,13.2,86.2,0.5933264525135035,0.039331779885818846,0.0,0.49983565300848315,0.02995634378103403,0.0,14.216940710728942,0.7365500676906946,0.7326471057305568
SWE-Bench,<$100,9,24.0622741,93.632165,22.0,59.2,1.1122163376695156,0.3363046463038368,0.016261964371547366,1.4728906610635668,0.12814111068419584,2.6046650740463306e-05,26.940095888669575,0.6736178012927424,0.5648237350569898
SWE-Bench,<$1000,19,24.0622741,383.85,16.4,64.8,0.7910090395805376,0.4610396798098541,0.1055121038322957,0.4066644434232337,0.15150285100173663,0.016290300956412596,19.497915438301035,0.1726536812893743,0.06923539145054614
SWE-Bench,All,21,24.0622741,1416.495,16.4,64.8,0.808348699397105,0.43124458520140774,0.07719142011343383,0.5518953981105134,0.1345545225763272,0.0006697596871512168,19.815823128956815,0.2695492202989551,0.18838802255439457
AIME,<$1,85,0.0014416825,0.911413625,0.6,81.1,1.9446177664668205,0.16038478952379256,0.0,1.2285449050850454,0.09799643178756724,0.0,43.17098623931028,0.6876266203547091,0.6800077574365313
AIME,<$10,106,0.0014416825,9.598029,0.6,91.4,2.0335227614250226,0.12652772760959752,0.0,1.29013008679829,0.08601074658700147,0.0,46.86809402899076,0.7420179660586946,0.7370086061763392
AIME,<$100,109,0.0014416825,22.901634,0.6,91.4,2.025994759424784,0.12007786673644838,0.0,1.236256462973475,0.08207333378227409,0.0,46.7027583731343,0.7460548964945057,0.7412634794472323
AIME,All,109,0.0014416825,22.901634,0.6,91.4,2.025994759424784,0.12007786673644838,0.0,1.236256462973475,0.08207333378227409,0.0,46.7027583731343,0.7460548964945057,0.7412634794472323
