Group,N,Time Coef (no control),p-value,R² (no control),Time Coef (w/ compute),p-value (time),Compute Coef,p-value (compute),R² (w/ compute),Coef Δ,Coef Δ (%),Time Coef (w/ compute+price),p-value (time) 3,Compute Coef 3,p-value (compute) 3,Price Coef,p-value (price),R² (w/ compute+price),Coef Δ 3,Coef Δ (%) 3
All Models,19,3.512464699101021,0.0008190122807705258,0.49195524113450684,3.1323593403122025,0.0005622075402722526,1.6935781370088805,0.0,0.6640807736357249,-0.38010535878881857,-10.82161363461112,3.0175797155310344,0.00057033834677922,0.45709285564244384,1.3011791644146342e-10,0.8573302668363577,0.010042512736677445,0.7239041499173366,-0.49488498356998667,-14.089393800787445
Frontier Models,4,3.704018510608675,0.047500824696039556,0.9072546789547244,4.125975871490265,0.13626051777277404,1.336816197126539,0.011981561786739592,0.9461256501926615,0.4219573608815903,11.39188045829314,4.625371129958753,,1.7072177945902298,,-1.2104437272122142,,1.0,0.9213526193500785,24.874406451027
Pareto Frontier,5,5.250722734141016,0.050994974573522533,0.7686201277855402,-1.2620378945891437,0.4236296053936548,6.183085878054996,8.943764267321797e-05,0.9188253137602074,-6.51276062873016,-124.03550822409983,-3.6789954601917634,0.4653164241289185,5.686086321548997,0.02412318260139723,1.1618725802999148,0.4884131334098176,0.9599290502162567,-8.929718194332779,-170.0664583995335
